"Codigo","Nombre","Pais","Provincia","Direccion","Customer Latitude","Customer Longitude"
"VCNZ","Vincenzo","Venezuela","Miranda (VE)","","10.47701","-66.88508"
"VALL","Valle","Venezuela","Distrito Capital (VE)","","10.47279","-66.89945"
"VSY","Vaisy","Venezuela","Miranda (VE)","","1.04770089069003e+16","-6688507640256499.0"
"THBO","Torre Humboldt","Venezuela","Miranda (VE)","","10.47701","-66.88508"
"SVDT","Silverdata","Venezuela","Distrito Capital (VE)","","10.47689","-66.88518"
"PDE","Prados del Este","Venezuela","Miranda (VE)","","10.47701","-66.88508"
"PQCT","Parque Central","Venezuela","Distrito Capital (VE)","","10.49816","-66.90061"
"PDEF","POR DEFECTO","","","","0.0","0.0"
"NIKN","Nikanor","Venezuela","Distrito Capital (VE)","","10.47161","-66.87515"
"MANS","Mansion","Venezuela","Miranda (VE)","","10.44483","-66.86648"
"LPAZ","La Paz","Venezuela","Distrito Capital (VE)","","10.47296","-66.88477"
"ISP","Iglesia San Pedro","Venezuela","Distrito Capital (VE)","","10.47701","-66.88508"
"HTML","Hotel Milenio","Venezuela","Distrito Capital (VE)","","10.47701","-66.88508"
"HCHB","Hacienda Humboldt B","Venezuela","Distrito Capital (VE)","","10.49051","-66.893"
"DORA","Doral Centro","Venezuela","Distrito Capital (VE)","","10.47701","-66.88508"
"CUMB","Cumbres","Venezuela","Miranda (VE)","","10.46143","-66.88222"
"CBM","Colinas de Bello Monte","Venezuela","Miranda (VE)","","10.47214","-66.87757"
"COCH","Coche","Venezuela","Distrito Capital (VE)","","10.47701","-66.86966"
"CIMA","Cima","Venezuela","Distrito Capital (VE)","","10.47529","-66.88643"
"CRPT","Carapita","Venezuela","Distrito Capital (VE)","","10.48241","-66.89163"
"BSVL","Brisavila","Venezuela","Distrito Capital (VE)","","10.51268","-66.91109"
"ALTG","Altagracia","Venezuela","Distrito Capital (VE)","","10.52118","-66.91149"
"679","679","Venezuela","Miranda (VE)","","10.46203","-66.88952"
