"Ciudad","Codigo","Direccion","Nombre","Pais","Provincia","Customer Longitude,Customer Latitude","ID externo"
"","VCNZ","","Vincenzo","Venezuela","Miranda (VE)","-66.88508,10.47701","__export__.isp_node_33_dc7758a4"
"","VALL","","Valle","Venezuela","Distrito Capital (VE)","-66.89945,10.47279","__export__.isp_node_32_1f2da8e1"
"","VSY","","Vaisy","Venezuela","Miranda (VE)","-66.88507640256499,10.4770089069003","__export__.isp_node_114_becf636f"
"","THBO","","Torre Humboldt","Venezuela","Miranda (VE)","-66.88508,10.47701","__export__.isp_node_31_3afcf6a0"
"","SVDT","","Silverdata","Venezuela","Distrito Capital (VE)","-66.88518,10.47689","__export__.isp_node_42_d659b769"
"","PDE","","Prados del Este","Venezuela","Miranda (VE)","-66.88508,10.47701","__export__.isp_node_30_16479017"
"","PQCT","","Parque Central","Venezuela","Distrito Capital (VE)","-66.90061,10.49816","__export__.isp_node_41_6d8bdb77"
"","PDEF","","POR DEFECTO","","","0.0","0.0","__export__.isp_node_43_413d47a2"
"","NIKN","","Nikanor","Venezuela","Distrito Capital (VE)","-66.87515,10.47161","__export__.isp_node_40_9274031b"
"","MANS","","Mansion","Venezuela","Miranda (VE)","-66.86648,10.44483","__export__.isp_node_29_6e79ffc9"
"","LVGA","","La Vega","Venezuela","Distrito Capital (VE)","0.0,0.0","__export__.isp_node_132_cca448e0"
"","LPAZ","","La Paz","Venezuela","Distrito Capital (VE)","-66.88477,10.47296","__export__.isp_node_39_ae08259d"
"","ISP","","Iglesia San Pedro","Venezuela","Distrito Capital (VE)","-66.88508,10.47701","__export__.isp_node_28_1ac09405"
"","HTML","","Hotel Milenio","Venezuela","Distrito Capital (VE)","-66.88508,10.47701","__export__.isp_node_27_db4b7151"
"","HCHB","","Hacienda Humboldt B","Venezuela","Distrito Capital (VE)","-66.893,10.49051","__export__.isp_node_38_b7eb6362"
"","DORA","","Doral Centro","Venezuela","Distrito Capital (VE)","-66.88508,10.47701","__export__.isp_node_26_8dcad79f"
"","CUMB","","Cumbres","Venezuela","Miranda (VE)","-66.88222,10.46143","__export__.isp_node_25_f1f3e734"
"","CBM","","Colinas de Bello Monte","Venezuela","Miranda (VE)","-66.87757,10.47214","__export__.isp_node_24_d298fbca"
"","COCH","","Coche","Venezuela","Distrito Capital (VE)","-66.86966,10.47701","__export__.isp_node_37_4c1f810c"
"","CIMA","","Cima","Venezuela","Distrito Capital (VE)","-66.88643,10.47529","__export__.isp_node_23_542ed46d"
"","CRPT","","Carapita","Venezuela","Distrito Capital (VE)","-66.89163,10.48241","__export__.isp_node_36_3a8b68ad"
"","BSVL","","Brisavila","Venezuela","Distrito Capital (VE)","-66.91109,10.51268","__export__.isp_node_35_c0b750fd"
"","ALTG","","Altagracia","Venezuela","Distrito Capital (VE)","-66.91149,10.52118","__export__.isp_node_34_cc0a003f"
"","679","","679","Venezuela","Miranda (VE)","-66.88952,10.46203","__export__.isp_node_22_b22f67ea"
